bus_code,hour,scen,powerConsumption
23,13,1,-9.020945213045195e-9
23,14,1,-5.157435256641918e-9
23,15,1,-4.1433756425846013e-10
23,16,1,0.0
23,17,1,0.0
23,18,1,0.0
23,19,1,0.0
23,20,1,0.0
23,21,1,-6.283318532140925e-9
23,22,1,0.0
23,23,1,0.0
23,24,1,0.0
25,1,1,0.023999999505354586
25,2,1,0.02399999971495992
25,3,1,0.024
25,4,1,0.024
25,5,1,0.024
25,6,1,0.023999999889143586
25,7,1,0.023999998816903068
25,8,1,0.024
25,9,1,0.023999999735306754
25,10,1,0.024
25,11,1,0.023999999151072537
25,12,1,0.023999991578959046
25,13,1,0.024
25,14,1,0.024
25,15,1,0.024
25,16,1,0.024
25,17,1,0.024
25,18,1,0.023999999718297915
25,19,1,0.024
25,20,1,0.023999999766023405
25,21,1,0.024
25,22,1,0.024
25,23,1,0.0239999972955125
25,24,1,0.024
26,1,1,0.01799999995314784
26,2,1,0.01799999995368336
26,3,1,0.01799999995294669
26,4,1,0.017999999953170757
26,5,1,0.01799999995308898
26,6,1,0.01799999995289629
26,7,1,0.017999999953698786
26,8,1,0.017999999952708075
26,9,1,0.017999999953039466
26,10,1,0.017999999953067995
26,11,1,0.017999999952772697
26,12,1,0.017999999952782574
26,13,1,0.01799999995309757
26,14,1,0.017999999952692
26,15,1,0.01799999995307709
26,16,1,0.017999999952797864
26,17,1,0.017999999952861084
26,18,1,0.017999999953627187
26,19,1,0.01799999995293534
26,20,1,0.017999999953256598
26,21,1,0.017999999953273643
26,22,1,0.0179999999531135
26,23,1,0.01799999995312802
26,24,1,0.017999999953021064
27,1,1,0.03
27,2,1,0.03
27,3,1,0.029999999731925596
27,4,1,0.03
27,5,1,0.029999999641141535
27,6,1,0.029999995865409863
27,7,1,0.03
27,8,1,0.03
27,9,1,0.029999996816405375
27,10,1,0.0299999992340789
27,11,1,0.029999999802842736
27,12,1,0.03
27,13,1,0.029999997696743726
27,14,1,0.02999999814177516
27,15,1,0.02999999808717258
27,16,1,0.029999998937734064
27,17,1,0.029999998362394913
27,18,1,0.03
27,19,1,0.029999999578497076
27,20,1,0.03
27,21,1,0.03
27,22,1,0.03
27,23,1,0.03
27,24,1,0.029999999953479663
28,1,1,0.04199999987914094
28,2,1,0.04199999795634468
28,3,1,0.042
28,4,1,0.042
28,5,1,0.042
28,6,1,0.042
28,7,1,0.042
28,8,1,0.042
28,9,1,0.042
28,10,1,0.042
28,11,1,0.041999997337738515
28,12,1,0.042
28,13,1,0.04199999984708791
28,14,1,0.042
28,15,1,0.04199999703829471
28,16,1,0.042
28,17,1,0.04199999992803427
28,18,1,0.042
28,19,1,0.042
28,20,1,0.04199999930026377
28,21,1,0.04199999936455878
28,22,1,0.04199999867852644
28,23,1,0.042
28,24,1,0.042
29,1,1,0.042
29,2,1,0.042
29,3,1,0.04199999991334735
29,4,1,0.042
29,5,1,0.042
29,6,1,0.041999999853172376
29,7,1,0.0419999993956266
29,8,1,0.04199999717131919
29,9,1,0.04199999545641986
29,10,1,0.042
29,11,1,0.042
29,12,1,0.042
29,13,1,0.042
29,14,1,0.042
29,15,1,0.042
29,16,1,0.042
29,17,1,0.04199999836126378
29,18,1,0.042
29,19,1,0.041999999972533564
29,20,1,0.042
29,21,1,0.042
29,22,1,0.042
29,23,1,0.042
29,24,1,0.04199999769159213
30,1,1,0.041999998706113706
30,2,1,0.042
30,3,1,0.0419999999682934
30,4,1,0.042
30,5,1,0.041999999103132346
30,6,1,0.042
30,7,1,0.042
30,8,1,0.04199999616263095
30,9,1,0.042
30,10,1,0.042
30,11,1,0.04199999983447822
30,12,1,0.041999999081834716
30,13,1,0.042
30,14,1,0.042
30,15,1,0.0419999973740699
30,16,1,0.042
30,17,1,0.042
30,18,1,0.042
30,19,1,0.042
30,20,1,0.04199999838931778
30,21,1,0.042
30,22,1,0.04199999975838753
30,23,1,0.042
30,24,1,0.042
31,1,1,0.0
31,2,1,-8.166486931138195e-11
31,3,1,-4.617920074112547e-10
31,4,1,0.0
31,5,1,-3.262710726592566e-10
31,6,1,-4.409967946372717e-10
31,7,1,-2.627676340405394e-10
31,8,1,-4.106318479690785e-10
31,9,1,0.0
31,10,1,0.0
31,11,1,0.0
31,12,1,0.0
31,13,1,-2.412054167511002e-10
31,14,1,-1.5588375729125303e-10
31,15,1,0.0
31,16,1,-7.895932796486704e-10
31,17,1,-2.2825166756668125e-10
31,18,1,0.0
31,19,1,-6.477976557950349e-10
31,20,1,-4.5899631317958267e-10
31,21,1,-5.353096160787274e-10
31,22,1,0.0
31,23,1,-2.9985872118665213e-10
31,24,1,0.0
34,1,1,0.041999999905107305
34,2,1,0.04199999925218126
34,3,1,0.041999999990931736
34,4,1,0.042
34,5,1,0.042
34,6,1,0.04199999981962069
34,7,1,0.04199999980988839
34,8,1,0.04199999979573649
34,9,1,0.042
34,10,1,0.042
34,11,1,0.04199999974038712
34,12,1,0.042
34,13,1,0.04199999984186134
34,14,1,0.041999999642768765
34,15,1,0.042
34,16,1,0.042
34,17,1,0.04199999993997103
34,18,1,0.041999999956107426
34,19,1,0.04199999983187172
34,20,1,0.041999999157696394
34,21,1,0.042
34,22,1,0.042
34,23,1,0.042
34,24,1,0.042
35,1,1,0.050999992996321686
35,2,1,0.051
35,3,1,0.051
35,4,1,0.051
35,5,1,0.050999993762725376
35,6,1,0.051
35,7,1,0.05099999940876673
35,8,1,0.05099998954470125
35,9,1,0.050999990139203866
35,10,1,0.051
35,11,1,0.051
35,12,1,0.051
35,13,1,0.051
35,14,1,0.051
35,15,1,0.051
35,16,1,0.050999991345688084
35,17,1,0.051
35,18,1,0.051
35,19,1,0.05099999919862119
35,20,1,0.051
35,21,1,0.051
35,22,1,0.051
35,23,1,0.051
35,24,1,0.051
36,1,1,0.044999996600621595
36,2,1,0.045
36,3,1,0.045
36,4,1,0.045
36,5,1,0.045
36,6,1,0.045
36,7,1,0.045
36,8,1,0.044999996885058846
36,9,1,0.045
36,10,1,0.045
36,11,1,0.04499999838819746
36,12,1,0.045
36,13,1,0.04499999707261407
36,14,1,0.04499999796690571
36,15,1,0.044999995510865226
36,16,1,0.04499999913797684
36,17,1,0.045
36,18,1,0.045
36,19,1,0.045
36,20,1,0.045
36,21,1,0.044999999828175985
36,22,1,0.04499999850294084
36,23,1,0.045
36,24,1,0.045
38,1,1,0.04199999999797169
38,2,1,0.041999999585239596
38,3,1,0.042
38,4,1,0.042
38,5,1,0.04199999987088859
38,6,1,0.042
38,7,1,0.04199999945048241
38,8,1,0.041999999301917924
38,9,1,0.04199999963526708
38,10,1,0.04199999964666439
38,11,1,0.042
38,12,1,0.042
38,13,1,0.042
38,14,1,0.042
38,15,1,0.042
38,16,1,0.04199999998964454
38,17,1,0.042
38,18,1,0.042
38,19,1,0.042
38,20,1,0.04199999974927747
38,21,1,0.04199999959498554
38,22,1,0.042
38,23,1,0.04199999953041571
38,24,1,0.04199999957065537
40,1,1,0.018
40,2,1,0.018
40,3,1,0.017999991922285852
40,4,1,0.017999988602451777
40,5,1,0.018
40,6,1,0.017999996295189336
40,7,1,0.017999997662956346
40,8,1,0.018
40,9,1,0.017999993895423394
40,10,1,0.017999996398918694
40,11,1,0.018
40,12,1,0.018
40,13,1,0.0179999871623982
40,14,1,0.018
40,15,1,0.017999989600906874
40,16,1,0.017999992636685724
40,17,1,0.017999999357938168
40,18,1,0.01799999447279854
40,19,1,0.017999994154489607
40,20,1,0.017999998923623806
40,21,1,0.018
40,22,1,0.018
40,23,1,0.018
40,24,1,0.017999991008292304
42,1,1,0.042
42,2,1,0.042
42,3,1,0.041999992986607504
42,4,1,0.04199999529030718
42,5,1,0.042
42,6,1,0.042
42,7,1,0.041999991211052745
42,8,1,0.042
42,9,1,0.04199999953570166
42,10,1,0.042
42,11,1,0.04199999489308126
42,12,1,0.042
42,13,1,0.042
42,14,1,0.04199999671410348
42,15,1,0.042
42,16,1,0.041999998205300426
42,17,1,0.042
42,18,1,0.041999998737328736
42,19,1,0.042
42,20,1,0.042
42,21,1,0.042
42,22,1,0.04199999427814638
42,23,1,0.042
42,24,1,0.042
44,1,1,0.0419999946732933
44,2,1,-0.03299997979356126
44,3,1,0.05120996128663002
44,4,1,0.08890210710126523
44,5,1,0.05121010191129342
44,6,1,0.051677825715469826
44,7,1,-0.03299998383719972
44,8,1,0.042000002004993445
44,9,1,0.06964401895374643
44,10,1,0.08935597371053731
44,11,1,0.0028449627774090325
44,12,1,0.006155059360157666
44,13,1,0.11699997981780737
44,14,1,-0.03299999106531454
44,15,1,0.11699999118737946
44,16,1,0.041999942220878855
44,17,1,0.0420000490106421
44,18,1,-0.032999997486270014
44,19,1,0.09831526255570196
44,20,1,0.013297495954575633
44,21,1,0.014387253974161527
44,22,1,0.04690178031096061
44,23,1,0.037098869173889736
44,24,1,0.04199931282191893
45,1,1,0.04199999989036068
45,2,1,0.04199999967397768
45,3,1,0.041999999880012795
45,4,1,0.041999999726195766
45,5,1,0.042
45,6,1,0.042
45,7,1,0.042
45,8,1,0.04199999988972726
45,9,1,0.042
45,10,1,0.042
45,11,1,0.04199999956775272
45,12,1,0.042
45,13,1,0.04199999996067748
45,14,1,0.042
45,15,1,0.041999999553479314
45,16,1,0.04199999983885064
45,17,1,0.042
45,18,1,0.041999999646724955
45,19,1,0.04199999936671411
45,20,1,0.042
45,21,1,0.041999999971270456
45,22,1,0.042
45,23,1,0.042
45,24,1,0.04199999995557708
47,1,1,0.044999994977224844
47,2,1,0.04499998758820922
47,3,1,0.0449999872255995
47,4,1,0.04499998770681446
47,5,1,0.0449999923253393
47,6,1,0.045
47,7,1,0.04499998097448865
47,8,1,0.044999998684863596
47,9,1,0.04499999987605477
47,10,1,0.044999994865365836
47,11,1,0.044999977060222573
47,12,1,0.0449999956973513
47,13,1,0.04499999662681787
47,14,1,0.04499998929289162
47,15,1,0.045
47,16,1,0.04499998698228891
47,17,1,0.045
47,18,1,0.04499999554405537
47,19,1,0.04499998801815702
47,20,1,0.04499999917773051
47,21,1,0.045
47,22,1,0.045
47,23,1,0.045
47,24,1,0.04499998358698942
49,1,1,0.13199999832636544
49,2,1,0.132
49,3,1,0.132
49,4,1,0.132
49,5,1,0.13199999811100607
49,6,1,0.13199999659388076
49,7,1,0.13199999589235134
49,8,1,0.13199998949840208
49,9,1,0.13199999769136447
49,10,1,0.132
49,11,1,0.132
49,12,1,0.1319999966530169
49,13,1,0.1319999877708294
49,14,1,0.132
49,15,1,0.13199999600643703
49,16,1,0.13199999418365846
49,17,1,0.13199999843208898
49,18,1,0.132
49,19,1,0.1319999879357992
49,20,1,0.13199999494622436
49,21,1,0.132
49,22,1,0.132
49,23,1,0.132
49,24,1,0.132
50,1,1,0.042
50,2,1,0.04199998777930758
50,3,1,0.04199999494690872
50,4,1,0.042
50,5,1,0.042
50,6,1,0.04199999316445413
50,7,1,0.042
50,8,1,0.041999999208998356
50,9,1,0.042
50,10,1,0.041999996623687474
50,11,1,0.042
50,12,1,0.042
50,13,1,0.042
50,14,1,0.042
50,15,1,0.04199999310280006
50,16,1,0.041999999353932074
50,17,1,0.042
50,18,1,0.04199998911830716
50,19,1,0.041999998545202685
50,20,1,0.04199999619935166
50,21,1,0.041999998979049796
50,22,1,0.04199999753840812
50,23,1,0.042
50,24,1,0.04199999482481029
51,1,1,0.041999996833163196
51,2,1,0.042
51,3,1,0.04199999675644672
51,4,1,0.042
51,5,1,0.042
51,6,1,0.042
51,7,1,0.042
51,8,1,0.042
51,9,1,0.041999989942442806
51,10,1,0.041999992184132195
51,11,1,0.04199999467205521
51,12,1,0.04199999454267191
51,13,1,0.04199999118988773
51,14,1,0.042
51,15,1,0.042
51,16,1,0.042
51,17,1,0.042
51,18,1,0.042
51,19,1,0.042
51,20,1,0.042
51,21,1,0.042
51,22,1,0.042
51,23,1,0.042
51,24,1,0.042
52,1,1,0.04199999918967137
52,2,1,0.04199999923292866
52,3,1,0.041999998654038646
52,4,1,0.04199999924732411
52,5,1,0.04199999913467288
52,6,1,0.04199999893296805
52,7,1,0.04199999948823053
52,8,1,0.042
52,9,1,0.04199999880248224
52,10,1,0.04199999514652732
52,11,1,0.04199999835895172
52,12,1,0.042
52,13,1,0.042
52,14,1,0.042
52,15,1,0.042
52,16,1,0.041999998101604714
52,17,1,0.04199999199625857
52,18,1,0.0419999990485938
52,19,1,0.04199999921819582
52,20,1,0.041999999302927304
52,21,1,0.041999999272477676
52,22,1,0.041999999468715465
52,23,1,0.041999999264276035
52,24,1,0.041999999332701786
53,1,1,0.042
53,2,1,0.04199999827999133
53,3,1,0.04199999354289824
53,4,1,0.041999998629303426
53,5,1,0.041999999982984634
53,6,1,0.042
53,7,1,0.042
53,8,1,0.04199999700053289
53,9,1,0.042
53,10,1,0.042
53,11,1,0.042
53,12,1,0.042
53,13,1,0.042
53,14,1,0.041999996723910055
53,15,1,0.0419999926241081
53,16,1,0.042
53,17,1,0.042
53,18,1,0.04199999998177774
53,19,1,0.042
53,20,1,0.042
53,21,1,0.042
53,22,1,0.042
53,23,1,0.042
53,24,1,0.042
54,1,1,0.059999999030672824
54,2,1,0.059999999030127225
54,3,1,0.05999999903151784
54,4,1,0.05999999903077819
54,5,1,0.05999999903339677
54,6,1,0.059999999039906306
54,7,1,0.059999999249883945
54,8,1,0.05999999995149684
54,9,1,0.05999999995380389
54,10,1,0.059999999952110396
54,11,1,0.059999999953145776
54,12,1,0.059999999953116785
54,13,1,0.05999999995281043
54,14,1,0.05999999995315215
54,15,1,0.05999999995130753
54,16,1,0.05999999995270399
54,17,1,0.05999999995336997
54,18,1,0.059999999058871975
54,19,1,0.059999999032787334
54,20,1,0.05999999903102878
54,21,1,0.059999999029751595
54,22,1,0.0599999990334463
54,23,1,0.059999999030751365
54,24,1,0.059999999033130864
55,1,1,0.06
55,2,1,0.05999999705973843
55,3,1,0.06
55,4,1,0.06
55,5,1,0.06
55,6,1,0.06
55,7,1,0.06
55,8,1,0.05999999584807446
55,9,1,0.06
55,10,1,0.0599999952756092
55,11,1,0.06
55,12,1,0.0599999936904625
55,13,1,0.05999999170248314
55,14,1,0.05999999786517722
55,15,1,0.06
55,16,1,0.059999998001919755
55,17,1,0.05999999717381737
55,18,1,0.06
55,19,1,0.06
55,20,1,0.059999995338606976
55,21,1,0.059999996552417875
55,22,1,0.06
55,23,1,0.06
55,24,1,0.05999999323434195
57,1,1,0.05999999859570504
57,2,1,0.05999999478750606
57,3,1,0.05999999876214221
57,4,1,0.05999998896561293
57,5,1,0.05999999723645749
57,6,1,0.06
57,7,1,0.05999998707070753
57,8,1,0.06
57,9,1,0.06
57,10,1,0.06
57,11,1,0.05999998580657542
57,12,1,0.059999992092218346
57,13,1,0.05999999962648636
57,14,1,0.0599999910993278
57,15,1,0.06
57,16,1,0.06
57,17,1,0.05999999772890252
57,18,1,0.06
57,19,1,0.06
57,20,1,0.05999999324323993
57,21,1,0.05999999868681655
57,22,1,0.05999999566295164
57,23,1,0.059999996030683955
57,24,1,0.05999999857285335
58,1,1,0.05999999857906908
58,2,1,0.05999999859678178
58,3,1,0.059999998571337886
58,4,1,0.05999999857064687
58,5,1,0.0599999985797452
58,6,1,0.05999999861745373
58,7,1,0.059999999370960906
58,8,1,0.06
58,9,1,0.05999999983481535
58,10,1,0.05999999998210431
58,11,1,0.0599999993296826
58,12,1,0.05999999992842753
58,13,1,0.05999999959113435
58,14,1,0.05999999965086513
58,15,1,0.06
58,16,1,0.059999999684727474
58,17,1,0.059999999860148534
58,18,1,0.059999998662102955
58,19,1,0.05999999858694258
58,20,1,0.059999998580402905
58,21,1,0.059999998588244556
58,22,1,0.05999999856887284
58,23,1,0.059999998569681766
58,24,1,0.059999998580550176
60,1,1,0.02199999882903746
60,2,1,0.0219999988321107
60,3,1,0.02199999883301348
60,4,1,0.021999998829096742
60,5,1,0.021999998835083866
60,6,1,0.02117354984485093
60,7,1,-0.00962630086282312
60,8,1,-0.057170000048314
60,9,1,-0.108883700046111
60,10,1,-0.14674760004771772
60,11,1,-0.17227430004649935
60,12,1,-0.17809550004651525
60,13,1,-0.17663180004623688
60,14,1,-0.16494530004649646
60,15,1,-0.1361870000485033
60,16,1,-0.09020390004707973
60,17,1,-0.032927900046526445
60,18,1,0.016890908890995034
60,19,1,0.021999998834479687
60,20,1,0.021999998832514148
60,21,1,0.021999998830549993
60,22,1,0.02199999883124453
60,23,1,0.021999998832421572
60,24,1,0.0219999988348353
62,1,1,0.005999998558689809
62,2,1,0.005999998600227915
62,3,1,0.005999998666471135
62,4,1,0.005999998723601255
62,5,1,0.005999998686983268
62,6,1,0.005999998400558218
62,7,1,0.00599999916487709
62,8,1,0.0059999997593418175
62,9,1,0.006
62,10,1,0.005999999840011316
62,11,1,0.005999999915402565
62,12,1,0.006
62,13,1,0.006
62,14,1,0.005999999958625185
62,15,1,0.005999999872243256
62,16,1,0.006
62,17,1,0.005999999686176122
62,18,1,0.0059999984702863995
62,19,1,0.005999998319244221
62,20,1,0.0059999985321639165
62,21,1,0.005999998398448558
62,22,1,0.005999998540023754
62,23,1,0.00599999829354482
62,24,1,0.0059999982789451095
63,1,1,0.005999997993399855
63,2,1,0.005999997968271359
63,3,1,0.0059999980007887505
63,4,1,0.005999997997700693
63,5,1,0.005999998011507787
63,6,1,0.005999998027534328
63,7,1,0.005999999063812211
63,8,1,0.006
63,9,1,0.0059999999667548765
63,10,1,0.006
63,11,1,0.006
63,12,1,0.006
63,13,1,0.006
63,14,1,0.006
63,15,1,0.005999999789772975
63,16,1,0.005999999895464847
63,17,1,0.005999999973403808
63,18,1,0.005999998083817168
63,19,1,0.005999997996150808
63,20,1,0.005999997996204903
63,21,1,0.00599999799681436
63,22,1,0.005999998002687482
63,23,1,0.005999997994712458
63,24,1,0.005999997994643194
64,1,1,0.035999995570461615
64,2,1,0.03599999559092569
64,3,1,0.03599999559649156
64,4,1,0.035999995570362556
