circuit_code,hour,scen,flow
3,9,6,-0.17547604624247545
3,9,7,-0.1748140187138139
3,9,8,-0.17499687793583737
3,9,9,-0.17481397220984515
3,9,10,-0.17542182416568686
3,10,1,-0.174816379762535
3,10,2,-0.17481393730292788
3,10,3,-0.1748141224273839
3,10,4,-0.1752234566621053
3,10,5,-0.17481554416846976
3,10,6,-0.17547628668424214
3,10,7,-0.1748140188746943
3,10,8,-0.17501663450531899
3,10,9,-0.17481397232132068
3,10,10,-0.1754217981231716
3,11,1,-0.1748163797837241
3,11,2,-0.17481393783414073
3,11,3,-0.1748141224427876
3,11,4,-0.17522351357378474
3,11,5,-0.17481554423828394
3,11,6,-0.1754765664958378
3,11,7,-0.1748140189291557
3,11,8,-0.17501664340229445
3,11,9,-0.17481397224757028
3,11,10,-0.17542185900535284
3,12,1,-0.1748163799011518
3,12,2,-0.17481393775877618
3,12,3,-0.17481412248230863
3,12,4,-0.17522356852293342
3,12,5,-0.17481554447733205
3,12,6,-0.1754768001488566
3,12,7,-0.17481401882994302
3,12,8,-0.1750166546908732
3,12,9,-0.1748139722480725
3,12,10,-0.17542193940239956
3,13,1,-0.1748163796782027
3,13,2,-0.1748139381008501
3,13,3,-0.17481412249645883
3,13,4,-0.17522360544351717
3,13,5,-0.17481554480003653
3,13,6,-0.1754770132126011
3,13,7,-0.17481401890536696
3,13,8,-0.17501666731084656
3,13,9,-0.17481397219661543
3,13,10,-0.17542204873120487
3,14,1,-0.17481637970910605
3,14,2,-0.17481393802998052
3,14,3,-0.17481412247179223
3,14,4,-0.1752236233012789
3,14,5,-0.17481554548758904
3,14,6,-0.17547718138214885
3,14,7,-0.17481401872662689
3,14,8,-0.1750166895156567
3,14,9,-0.174813972303328
3,14,10,-0.17542216620707626
3,15,1,-0.1748163797971341
3,15,2,-0.17481393808216253
3,15,3,-0.17481412246399303
3,15,4,-0.17522363632167548
3,15,5,-0.17481554569893049
3,15,6,-0.17547737148583373
3,15,7,-0.1748140189074158
3,15,8,-0.1750167053418056
3,15,9,-0.1748139722953703
3,15,10,-0.17542230629547437
3,16,1,-0.17481638020290952
3,16,2,-0.17481393793419933
3,16,3,-0.1748141225675525
3,16,4,-0.1752236565194939
3,16,5,-0.17481554591987022
3,16,6,-0.17547750269009765
3,16,7,-0.17481401885030337
3,16,8,-0.17501673226276684
3,16,9,-0.17481397220903813
3,16,10,-0.17542238595176565
3,17,1,-0.1748163800985344
3,17,2,-0.1748139380193818
3,17,3,-0.17481412255910955
3,17,4,-0.1752237246705283
3,17,5,-0.17481554613274022
3,17,6,-0.17547769015601788
3,17,7,-0.17481401892467888
3,17,8,-0.1750167715080027
3,17,9,-0.17481397230372184
3,17,10,-0.1754225072049919
