circuit_code,hour,scen,losses
97,21,6,0.006269786906807324
97,21,7,0.006234190880509637
97,21,8,0.015159770525405847
97,21,9,0.005396248828522487
97,21,10,0.009746134000181733
97,22,1,0.005953647758667002
97,22,2,0.012182126960605989
97,22,3,0.005953647751599638
97,22,4,0.005953647750028229
97,22,5,0.005953647754582829
97,22,6,0.0068841484326823115
97,22,7,0.0068093550628937245
97,22,8,0.017205565460942398
97,22,9,0.0059536477446040376
97,22,10,0.008652134625413551
97,23,1,0.0037957919823142293
97,23,2,0.0034882352265996628
97,23,3,0.003488235224636408
97,23,4,0.00491063242120802
97,23,5,0.0034882352256795164
97,23,6,0.003936761374000886
97,23,7,0.0034882352711056133
97,23,8,0.010736654140149763
97,23,9,0.0036087728470257175
97,23,10,0.004734722232550901
97,24,1,0.02775217401237776
97,24,2,0.01254424446442307
97,24,3,0.0112180859119451
97,24,4,0.01680674724451954
97,24,5,0.01624389715930587
97,24,6,0.013718520699168481
97,24,7,0.013315733073891488
97,24,8,0.0351647105219153
97,24,9,0.02596585175904633
97,24,10,0.011218087261443587
98,1,1,9.267294789995799e-6
98,1,2,9.267323398264028e-6
98,1,3,9.267295659603668e-6
98,1,4,9.267300496816835e-6
98,1,5,9.267300006225015e-6
98,1,6,9.267300190595375e-6
98,1,7,9.267302346904924e-6
98,1,8,0.005904909559982908
98,1,9,9.267291030875564e-6
98,1,10,9.267391279344492e-6
98,2,1,9.267294788249232e-6
98,2,2,9.267323319142641e-6
98,2,3,9.267301836787252e-6
98,2,4,9.267301609779969e-6
98,2,5,9.267294016060275e-6
98,2,6,9.267293596975465e-6
98,2,7,9.267302805332976e-6
98,2,8,0.0013267852808113358
98,2,9,9.267291054287796e-6
98,2,10,9.267310400541204e-6
98,3,1,9.26730357467194e-6
98,3,2,9.267323303195557e-6
98,3,3,9.267295570878582e-6
98,3,4,9.267294669269663e-6
98,3,5,9.267303232617717e-6
98,3,6,9.267303399724062e-6
98,3,7,9.267302328591067e-6
98,3,8,0.0024288968794141824
98,3,9,9.267303069622642e-6
98,3,10,9.267310414839865e-6
98,4,1,9.267295386127441e-6
98,4,2,9.267323306907751e-6
98,4,3,9.267302194803799e-6
98,4,4,9.267302018937565e-6
98,4,5,9.267302814102804e-6
98,4,6,9.267292918131599e-6
98,4,7,9.267302915965199e-6
98,4,8,0.0008656174187954138
98,4,9,9.267302645220414e-6
98,4,10,9.267441017173907e-6
98,5,1,9.267300579578176e-6
98,5,2,9.267324132359561e-6
98,5,3,9.267300858993044e-6
98,5,4,9.267300685378415e-6
98,5,5,9.267293222597204e-6
98,5,6,9.267292925432455e-6
98,5,7,9.267302867751848e-6
98,5,8,0.004760585702222604
98,5,9,9.267300723580387e-6
98,5,10,9.26767234787964e-6
98,6,1,9.267300755048857e-6
98,6,2,9.26732333266383e-6
98,6,3,9.267296427851218e-6
98,6,4,9.267296203529428e-6
98,6,5,9.267293230427534e-6
98,6,6,9.267296585490414e-6
98,6,7,9.267302831352212e-6
98,6,8,0.005117292968576668
98,6,9,9.26728676159623e-6
98,6,10,0.0010219030707834902
98,7,1,9.267295326338643e-6
98,7,2,9.267347473168961e-6
98,7,3,9.267295645486033e-6
98,7,4,9.267296054393574e-6
98,7,5,9.267293226130164e-6
98,7,6,9.2672965828358e-6
98,7,7,9.267306837998665e-6
98,7,8,0.005096100846874379
