codes,2,4,1,3
hours,bus85,bus18,bus114,bus60
1/2017,0.3596,0.3596,0.0,0.0
1/2017,0.3581,0.3581,0.0,0.0
1/2017,0.3420,0.3420,0.0035572756113587778,0.003554599923459504
1/2017,0.3626,0.3626,0.10408474816473605,0.10408474816473605
1/2017,0.3837,0.3837,0.24532726643290897,0.24532726643290897
1/2017,0.3822,0.3822,0.38111231530018974,0.38111231530018974
1/2017,0.3581,0.3581,0.5010349313004298,0.5010349313004298
1/2017,0.3420,0.3420,0.5650768244325216,0.5650768244325216
1/2017,0.3377,0.3377,0.570850136910541,0.570850136910541
1/2017,0.3420,0.3420,0.5493291160899069,0.5493291160899069
1/2017,0.3420,0.3420,0.551581617295156,0.551581617295156
1/2017,0.3392,0.3392,0.44703500920472855,0.44703500920472855
1/2017,0.3449,0.3449,0.31309119897624277,0.3130911989762428
1/2017,0.3581,0.3581,0.14881548855041954,0.14881548855041954
1/2017,0.3552,0.3552,0.012838400618959462,0.012841236885914308
1/2017,0.3392,0.3392,0.0,0.0
1/2017,0.3406,0.3406,0.0,0.0
1/2017,0.3552,0.3552,0.0,0.0
1/2017,0.3507,0.3507,0.0,0.0
1/2017,0.3420,0.3420,0.0,0.0
1/2017,0.3320,0.3320,0.0,0.0
1/2017,0.3180,0.3180,0.0,0.0
1/2017,0.3085,0.3085,0.0,0.0
1/2017,0.2978,0.2978,0.0,0.0
1/2017,0.2900,0.2900,0.0,0.0
1/2017,0.2952,0.2952,0.0,0.0
1/2017,0.3071,0.3071,0.00357538994361459,0.0035729337427517845
1/2017,0.3167,0.3167,0.09843318329759247,0.09843318329759247
1/2017,0.3222,0.3222,0.29617340240041296,0.29617340240041296
1/2017,0.3139,0.3139,0.4894306687132248,0.4894306687132248
1/2017,0.3236,0.3236,0.6216552358916777,0.6216552358916777
1/2017,0.3464,0.3464,0.6607325720353527,0.6607325720353527
1/2017,0.3611,0.3611,0.6364522701768401,0.6364522701768401
1/2017,0.3961,0.3961,0.5505202462871812,0.5505202462871812
1/2017,0.4521,0.4521,0.47992492801750214,0.47992492801750214
