codes,2,4
hours,bus85,bus18
2/2017,0.3961,0.3961
2/2017,0.3686,0.3686
2/2017,0.3807,0.3807
2/2017,0.4134,0.4134
2/2017,0.4229,0.4229
2/2017,0.4358,0.4358
2/2017,0.4102,0.4102
2/2017,0.4819,0.4819
2/2017,0.5072,0.5072
2/2017,0.5072,0.5072
2/2017,0.4752,0.4752
2/2017,0.4165,0.4165
2/2017,0.3701,0.3701
2/2017,0.3464,0.3464
2/2017,0.3236,0.3236
2/2017,0.2991,0.2991
2/2017,0.2861,0.2861
2/2017,0.2710,0.2710
2/2017,0.2601,0.2601
2/2017,0.2577,0.2577
2/2017,0.2760,0.2760
2/2017,0.2900,0.2900
2/2017,0.3031,0.3031
2/2017,0.2836,0.2836
2/2017,0.3058,0.3058
2/2017,0.3464,0.3464
2/2017,0.3581,0.3581
2/2017,0.3868,0.3868
2/2017,0.4165,0.4165
2/2017,0.4023,0.4023
2/2017,0.3731,0.3731
2/2017,0.3596,0.3596
2/2017,0.3236,0.3236
2/2017,0.3112,0.3112
2/2017,0.3112,0.3112
2/2017,0.3058,0.3058
2/2017,0.3031,0.3031
2/2017,0.2978,0.2978
2/2017,0.2874,0.2874
2/2017,0.2747,0.2747
2/2017,0.2601,0.2601
2/2017,0.2344,0.2344
2/2017,0.2266,0.2266
2/2017,0.2482,0.2482
2/2017,0.2747,0.2747
2/2017,0.2939,0.2939
2/2017,0.3180,0.3180
2/2017,0.3552,0.3552
2/2017,0.3566,0.3566
2/2017,0.3363,0.3363
2/2017,0.2978,0.2978
2/2017,0.2772,0.2772
2/2017,0.2661,0.2661
2/2017,0.2577,0.2577
2/2017,0.2040,0.2040
2/2017,0.1855,0.1855
2/2017,0.1490,0.1490
2/2017,0.1240,0.1240
2/2017,0.1240,0.1240
2/2017,0.1464,0.1464
2/2017,0.1765,0.1765
2/2017,0.2040,0.2040
2/2017,0.2288,0.2288
2/2017,0.2447,0.2447
2/2017,0.2482,0.2482
2/2017,0.2244,0.2244
2/2017,0.1946,0.1946
2/2017,0.1956,0.1956
2/2017,0.2168,0.2168
2/2017,0.2459,0.2459
2/2017,0.2459,0.2459
2/2017,0.2082,0.2082
2/2017,0.1677,0.1677
2/2017,0.1686,0.1686
2/2017,0.1998,0.1998
2/2017,0.2029,0.2029
2/2017,0.1677,0.1677
2/2017,0.1352,0.1352
2/2017,0.1112,0.1112
2/2017,0.1455,0.1455
2/2017,0.1527,0.1527
2/2017,0.1360,0.1360
2/2017,0.1303,0.1303
2/2017,0.1377,0.1377
2/2017,0.1518,0.1518
2/2017,0.1667,0.1667
2/2017,0.1725,0.1725
2/2017,0.1573,0.1573
2/2017,0.1319,0.1319
2/2017,0.1139,0.1139
2/2017,0.1086,0.1086
2/2017,0.1092,0.1092
2/2017,0.1279,0.1279
2/2017,0.1473,0.1473
2/2017,0.1648,0.1648
2/2017,0.1735,0.1735
2/2017,0.1667,0.1667
2/2017,0.1518,0.1518
2/2017,0.1264,0.1264
2/2017,0.1025,0.1025
2/2017,0.0954,0.0954
2/2017,0.0909,0.0909
2/2017,0.0695,0.0695
2/2017,0.0795,0.0795
2/2017,0.0959,0.0959
2/2017,0.1160,0.1160
2/2017,0.1303,0.1303
2/2017,0.1386,0.1386
2/2017,0.1446,0.1446
2/2017,0.1582,0.1582
2/2017,0.1834,0.1834
2/2017,0.2093,0.2093
2/2017,0.2356,0.2356
2/2017,0.2333,0.2333
2/2017,0.2367,0.2367
2/2017,0.2939,0.2939
2/2017,0.3537,0.3537
2/2017,0.3945,0.3945
2/2017,0.3670,0.3670
2/2017,0.2772,0.2772
2/2017,0.1696,0.1696
2/2017,0.1013,0.1013
2/2017,0.0653,0.0653
2/2017,0.0541,0.0541
2/2017,0.1105,0.1105
2/2017,0.1885,0.1885
2/2017,0.1784,0.1784
2/2017,0.1765,0.1765
2/2017,0.1490,0.1490
2/2017,0.1132,0.1132
2/2017,0.0944,0.0944
2/2017,0.0914,0.0914
2/2017,0.1007,0.1007
2/2017,0.1240,0.1240
2/2017,0.1610,0.1610
2/2017,0.1967,0.1967
2/2017,0.2019,0.2019
2/2017,0.2179,0.2179
2/2017,0.2661,0.2661
2/2017,0.3208,0.3208
