Num Graph...........................|...Unid Type  Y/N
248 Final storage of fuel reservoir  kUC        2    0
249 Fuel reservoir injection         kUC        2    0
250 Fuel reservoir withdrawal        kUC        2    0
251 Thermal consumption via contractskUC        2    0
252 Thermal consumption via fuel res.kUC        2    0
253 Total ToP contracted per contractkUC        0    0
254 Remaining ToP amount per contractkUC        2    0
255 ToP not consumed per contract    kUC        2    0
256 ToP marginal cost per contract   $/UC       3    0
257 ToP consumed per contract        kUC        2    0
258 Load per class - inelastic       GWh        0    0
259 Load per class - maximum         GWh        0    0
260 Load per bus - maximum           GWh        0    0
261 Load per class - benefit         k$         1    0
262 ToP cost per contract            k$         0    0
263 Additional cost per contract     k$         1    0
264 Total add contracted per contractkUC        0    0
265 Add remaining amount per contractkUC        2    0
266 Add amount consumed per contract kUC        2    0
267 Add amount not cons. per contractkUC        2    0
268 Contract cost                    k$         1    0
269 Final storage (%)                %          2    0
270 Thermal gen. x load MargCost     k$         9    0
271 Hydro gen. x load MargCost       k$         9    0
272 Renewable gen. x load MargCost   k$         9    0
273 Deficit (% of load)              %          7    0
274 Deficit per bus (% of load)      %          7    0
276 Phase shifter                    degrees    2    0
278 Hour-block mapping               Block      0    0
279 Thermal generation in MW         MW         2    0
280 Flow controller reactance        %          2    0
282 Viol. thermal tech. minimum gen. MW         7    0
283 Viol. cost thermal tech. minimum k$         8    0
286 Final storage (typical days)     hm3        2    0
287 Final storage chronological week hm3        2    0
290 Load x Bus MargCost              k$         9    0
291 Stored energy 65% U.S.           GWh        2    0
293 Marg. value of fuel in reservoir $/UC       3    0
294 Marg. value fuel reserv. capacity$/UC       3    0
296 Violation mininum spillage ctr.  m3/s       7    0
297 Viol. cost of min. spillage ctr. k$         8    0
298 Minimum spillage ctr.            m3/s       0    0
299 Hydro spillage cost              k$         1    0
300 Lerner index for transmission    pu         2    0
301 Future cost                      k$         2    0
302 Immediate cost per system        k$         2    0
303 Costs by category                k$         2    0
304 Renewable generation spillage    GWh        2    0
305 AC Circuit income (>0)           k$         9    0
306 Hydro joint reserve cost         k$         1    0
307 Thermal joint reserve cost       k$         1    0
308 Inflow energy per hydro plant    GWh        0    0
310 Thermal commitment decision      pu         2    0
311 Renewable scenario               pu         0    0
312 Renewable selected scenarios           0    0    0
313 Battery net generation           MWh        2    0
314 Battery final storage            MWh        2    0
315 Marginal cost of battery maximum $/MWh      3    0
317 Marginal cost of battery maximum $/MWh      3    0
321 Accumulated production factor    MW/m3/s    2    0
323 Generation excess per system     GWh        7    0
324 Generation excess per AC bus     GWh        7    0
325 Thermal start-up decision        0/1        2    0
327 Block length in pu               pu         0    0
328 Power injections                 GWh        2    0
329 Viol. cost of max op. storage    k$         8    0
330 Viol. of max op. storage         hm3        7    0
331 Maximum operative storage        hm3        0    0
332 Max op. st. marg. cost           $/hm3      3    0
333 Battery joint reserve            MW         2    0
334 Elastic load price per level     $/MWh      0    0
335 Generic lin. ctr. marginal cost  $/unit     3    0
336 Generic lin. ctr. violation      unit       7    0
337 Generic lin. ctr. violation cost k$         8    0
338 DC Link loading                  %          2    0
340 Alert energy by reservoir set    GWh        0    0
341 Flood control by reservoir set   GWh        0    0
342 Security energy by reservoir set GWh        0    0
343 Thermal emissions per plant      unit       2    0
344 Violation maximum spillage ctr.  m3/s       7    0
345 Viol. cost of max. spillage ctr. k$         8    0
346 Maximum spillage ctr.            m3/s       0    0
347 Thermal emissions cost per plant k$         2    0
348 Interconnection capacity TO->FROMMW         0    0
349 DC Link capacity TO->FROM        MW         0    0
350 Import limit per area            MW         0    0
351 Import by area                   GWh        2    0
352 Interconnection cost TO->FROM    $/MWh      0    0
353 Fuel availability                k.units    0    0
354 Max fuel consumption rate        un/h       0    0
355 Emission budget marginal cost    $/unit     3    0
356 Power injection cost             k$         2    0
357 Power injection marginal cost    $/MWh      3    0
358 Hydro unit generation            GWh        2    0
359 Renewable O&M cost               k$         1    0
360 Losses in circuit flow ctr.      MW         2    0
361 Fuel price                       $/unit     0    0
362 Remaining emission budget        unit       2    0
363 Final make-up amount per contractkUC        2    0
364 Make-up discount per contract    kUC        2    0
